típus;év;utas;személyzet;utazósebesség;felszállótömeg;fesztáv
Airbus A300;1972;336;3;911;142;14711
Airbus A310;1982;218;2;950;150;14399
Airbus A320;1985;179;2;950;66;11125
Antonov An-24;1960;50;5;450;21;958
BAC VC-10;1962;180;5;915;152;1401
BAe (HS) 748;1960;58;2;452;21;10249
BAe /BAC/ One-Eleven 475;1967;119;2;742;45;935
BAe 146;1981;111;2;709;42;938
Boeing 707;1954;219;3;866;151;14573
Boeing 727;1962;189;3;953;84;10800
Boeing 737;1967;149;2;856;52;9301
Boeing 747;1969;516;3;955;322;19567
Concorde;1970;144;3;2179;185;8386
DHC-5 Buffalo;1964;40;3;467;22;9600
DHC-6 Twin Otter;1965;20;2;338;6;6499
DHC-7 Dash 7;1975;54;2;420;21;9301
DHC-8 Dash 8;1983;40;2;497;15;8501
Dornier 228;1981;19;2;428;6;5568
Fokker F27 Friendship;1955;52;2;480;21;95
Fokker F28 Fellowship;1967;85;3;843;33;8225
Iljusin Il-18 Moszkva;1957;85;4;675;64;1178
Iljusin Il-62;1963;186;5;820;162;1417
Iljusin Il-86;1976;350;5;950;206;15768
Jakovlev Jak-40;1966;32;3;550;16;82
Jakovlev Jak-42;1975;120;2;810;54;11443
Lockheed L-1011 Tristar;1970;400;3;964;195;15531
McDonnell Douglas DC-8;1958;251;5;965;251;1506
McDonnell Douglas DC-9;1965;172;3;907;55;9340
McDonnell Douglas DC-10;1970;345;5;940;200;15531
Tupoljev Tu-134;1967;80;3;870;47;9518
Tupoljev Tu-144;1968;140;2;2500;180;945
Tupoljev Tu-154;1968;169;3;975;98;12319
